Claim ID: 1 	|| Coords.: 151,671 	|| Size: 11x15
Claim ID: 424 	|| Coords.: 305,402 	|| Size: 20x26
Claim ID: 425 	|| Coords.: 92,746 	|| Size: 28x12
Claim ID: 426 	|| Coords.: 936,579 	|| Size: 11x11
Claim ID: 427 	|| Coords.: 709,237 	|| Size: 28x18
Claim ID: 428 	|| Coords.: 559,186 	|| Size: 23x29
Claim ID: 429 	|| Coords.: 338,407 	|| Size: 8x7
Claim ID: 430 	|| Coords.: 352,864 	|| Size: 27x29
Claim ID: 431 	|| Coords.: 379,312 	|| Size: 27x17
Claim ID: 432 	|| Coords.: 938,118 	|| Size: 14x17
Claim ID: 433 	|| Coords.: 657,407 	|| Size: 12x27
Claim ID: 434 	|| Coords.: 534,414 	|| Size: 11x25
Claim ID: 435 	|| Coords.: 369,569 	|| Size: 29x18
Claim ID: 436 	|| Coords.: 745,536 	|| Size: 18x24
Claim ID: 437 	|| Coords.: 780,799 	|| Size: 28x17
Claim ID: 438 	|| Coords.: 884,856 	|| Size: 18x19
Claim ID: 439 	|| Coords.: 611,227 	|| Size: 26x29
Claim ID: 440 	|| Coords.: 165,687 	|| Size: 27x24
Claim ID: 441 	|| Coords.: 328,82 	|| Size: 17x21
Claim ID: 442 	|| Coords.: 982,786 	|| Size: 15x21
Claim ID: 443 	|| Coords.: 848,719 	|| Size: 20x16
Claim ID: 444 	|| Coords.: 805,918 	|| Size: 21x11
Claim ID: 445 	|| Coords.: 103,365 	|| Size: 22x21
Claim ID: 446 	|| Coords.: 231,952 	|| Size: 21x26
Claim ID: 447 	|| Coords.: 368,907 	|| Size: 29x16
Claim ID: 448 	|| Coords.: 671,851 	|| Size: 15x11
Claim ID: 449 	|| Coords.: 879,773 	|| Size: 19x17
Claim ID: 450 	|| Coords.: 745,921 	|| Size: 22x11
Claim ID: 451 	|| Coords.: 471,497 	|| Size: 18x25
Claim ID: 452 	|| Coords.: 411,125 	|| Size: 26x10
Claim ID: 453 	|| Coords.: 374,791 	|| Size: 11x22
Claim ID: 454 	|| Coords.: 764,776 	|| Size: 27x15
Claim ID: 455 	|| Coords.: 828,912 	|| Size: 26x13
Claim ID: 456 	|| Coords.: 531,119 	|| Size: 12x21
Claim ID: 457 	|| Coords.: 483,495 	|| Size: 28x15
Claim ID: 458 	|| Coords.: 83,394 	|| Size: 23x19
Claim ID: 459 	|| Coords.: 582,5 	|| Size: 18x29
Claim ID: 460 	|| Coords.: 409,275 	|| Size: 29x28
Claim ID: 461 	|| Coords.: 939,909 	|| Size: 20x28
Claim ID: 462 	|| Coords.: 796,116 	|| Size: 28x19
Claim ID: 463 	|| Coords.: 620,830 	|| Size: 28x17
Claim ID: 464 	|| Coords.: 311,616 	|| Size: 29x26
Claim ID: 465 	|| Coords.: 553,912 	|| Size: 19x27
Claim ID: 466 	|| Coords.: 581,971 	|| Size: 22x20
Claim ID: 467 	|| Coords.: 449,289 	|| Size: 12x18
Claim ID: 468 	|| Coords.: 762,788 	|| Size: 14x16
Claim ID: 469 	|| Coords.: 958,553 	|| Size: 15x22
Claim ID: 470 	|| Coords.: 449,303 	|| Size: 11x10
Claim ID: 471 	|| Coords.: 122,768 	|| Size: 16x15
Claim ID: 472 	|| Coords.: 8,367 	|| Size: 24x26
Claim ID: 473 	|| Coords.: 770,490 	|| Size: 27x15
Claim ID: 474 	|| Coords.: 439,432 	|| Size: 16x11
Claim ID: 475 	|| Coords.: 634,60 	|| Size: 27x15
Claim ID: 476 	|| Coords.: 418,787 	|| Size: 25x18
Claim ID: 477 	|| Coords.: 838,5 	|| Size: 10x13
Claim ID: 478 	|| Coords.: 332,166 	|| Size: 17x12
Claim ID: 479 	|| Coords.: 343,27 	|| Size: 12x26
Claim ID: 480 	|| Coords.: 334,811 	|| Size: 11x24
Claim ID: 481 	|| Coords.: 650,56 	|| Size: 15x26
Claim ID: 482 	|| Coords.: 257,42 	|| Size: 10x27
Claim ID: 483 	|| Coords.: 956,411 	|| Size: 17x12
Claim ID: 484 	|| Coords.: 945,397 	|| Size: 25x25
Claim ID: 485 	|| Coords.: 706,633 	|| Size: 25x11
Claim ID: 486 	|| Coords.: 349,489 	|| Size: 21x28
Claim ID: 487 	|| Coords.: 57,472 	|| Size: 15x20
Claim ID: 488 	|| Coords.: 783,358 	|| Size: 24x26
Claim ID: 489 	|| Coords.: 578,437 	|| Size: 14x15
Claim ID: 490 	|| Coords.: 623,380 	|| Size: 23x15
Claim ID: 491 	|| Coords.: 409,191 	|| Size: 22x18
Claim ID: 492 	|| Coords.: 628,635 	|| Size: 16x18
Claim ID: 493 	|| Coords.: 956,202 	|| Size: 17x27
Claim ID: 494 	|| Coords.: 363,714 	|| Size: 26x11
Claim ID: 495 	|| Coords.: 731,749 	|| Size: 18x29
Claim ID: 496 	|| Coords.: 420,80 	|| Size: 11x22
Claim ID: 497 	|| Coords.: 683,338 	|| Size: 24x28
Claim ID: 498 	|| Coords.: 522,290 	|| Size: 24x29
Claim ID: 499 	|| Coords.: 576,548 	|| Size: 17x25
Claim ID: 500 	|| Coords.: 655,653 	|| Size: 11x27
Claim ID: 501 	|| Coords.: 961,824 	|| Size: 13x11
Claim ID: 502 	|| Coords.: 399,858 	|| Size: 21x23
Claim ID: 503 	|| Coords.: 232,786 	|| Size: 19x15
Claim ID: 504 	|| Coords.: 187,402 	|| Size: 27x28
Claim ID: 505 	|| Coords.: 569,90 	|| Size: 25x20
Claim ID: 506 	|| Coords.: 521,864 	|| Size: 14x20
Claim ID: 507 	|| Coords.: 865,502 	|| Size: 18x13
Claim ID: 508 	|| Coords.: 233,884 	|| Size: 16x14
Claim ID: 509 	|| Coords.: 602,136 	|| Size: 13x15
Claim ID: 510 	|| Coords.: 381,68 	|| Size: 28x29
Claim ID: 511 	|| Coords.: 740,876 	|| Size: 17x25
Claim ID: 512 	|| Coords.: 505,261 	|| Size: 19x10
Claim ID: 513 	|| Coords.: 384,556 	|| Size: 25x29
Claim ID: 514 	|| Coords.: 300,845 	|| Size: 17x27
Claim ID: 515 	|| Coords.: 564,15 	|| Size: 13x19
Claim ID: 516 	|| Coords.: 11,948 	|| Size: 22x17
Claim ID: 517 	|| Coords.: 825,414 	|| Size: 15x14
Claim ID: 518 	|| Coords.: 972,803 	|| Size: 16x20
Claim ID: 519 	|| Coords.: 239,642 	|| Size: 15x15
Claim ID: 520 	|| Coords.: 123,689 	|| Size: 27x19
Claim ID: 521 	|| Coords.: 845,861 	|| Size: 11x13
Claim ID: 522 	|| Coords.: 24,730 	|| Size: 25x17
Claim ID: 523 	|| Coords.: 31,769 	|| Size: 24x19
Claim ID: 524 	|| Coords.: 192,429 	|| Size: 12x21
Claim ID: 525 	|| Coords.: 913,697 	|| Size: 24x26
Claim ID: 526 	|| Coords.: 342,697 	|| Size: 10x29
Claim ID: 527 	|| Coords.: 770,80 	|| Size: 27x16
Claim ID: 528 	|| Coords.: 738,858 	|| Size: 11x26
Claim ID: 529 	|| Coords.: 698,707 	|| Size: 10x29
Claim ID: 530 	|| Coords.: 491,61 	|| Size: 11x21
Claim ID: 531 	|| Coords.: 408,85 	|| Size: 11x19
Claim ID: 532 	|| Coords.: 912,144 	|| Size: 11x17
Claim ID: 533 	|| Coords.: 395,809 	|| Size: 24x25
Claim ID: 534 	|| Coords.: 553,504 	|| Size: 16x24
Claim ID: 535 	|| Coords.: 600,882 	|| Size: 24x11
Claim ID: 536 	|| Coords.: 384,655 	|| Size: 29x24
Claim ID: 537 	|| Coords.: 61,806 	|| Size: 18x24
Claim ID: 538 	|| Coords.: 430,97 	|| Size: 14x21
Claim ID: 539 	|| Coords.: 128,249 	|| Size: 18x14
Claim ID: 540 	|| Coords.: 669,790 	|| Size: 17x24
Claim ID: 541 	|| Coords.: 649,593 	|| Size: 16x19
Claim ID: 542 	|| Coords.: 629,233 	|| Size: 13x11
Claim ID: 543 	|| Coords.: 917,257 	|| Size: 21x14
Claim ID: 544 	|| Coords.: 818,670 	|| Size: 12x14
Claim ID: 545 	|| Coords.: 822,94 	|| Size: 22x14
Claim ID: 546 	|| Coords.: 237,910 	|| Size: 26x16
Claim ID: 547 	|| Coords.: 60,99 	|| Size: 17x17
Claim ID: 548 	|| Coords.: 286,419 	|| Size: 21x19
Claim ID: 549 	|| Coords.: 880,43 	|| Size: 10x17
Claim ID: 550 	|| Coords.: 881,610 	|| Size: 18x14
Claim ID: 551 	|| Coords.: 158,142 	|| Size: 16x22
Claim ID: 552 	|| Coords.: 307,142 	|| Size: 27x23
Claim ID: 553 	|| Coords.: 371,329 	|| Size: 19x21
Claim ID: 554 	|| Coords.: 371,292 	|| Size: 11x24
Claim ID: 555 	|| Coords.: 657,184 	|| Size: 12x27
Claim ID: 556 	|| Coords.: 917,252 	|| Size: 16x22
Claim ID: 557 	|| Coords.: 869,746 	|| Size: 11x29
Claim ID: 558 	|| Coords.: 485,34 	|| Size: 17x21
Claim ID: 559 	|| Coords.: 572,737 	|| Size: 14x14
Claim ID: 560 	|| Coords.: 709,903 	|| Size: 22x10
Claim ID: 561 	|| Coords.: 67,59 	|| Size: 10x24
Claim ID: 562 	|| Coords.: 150,369 	|| Size: 14x15
Claim ID: 563 	|| Coords.: 665,638 	|| Size: 22x14
Claim ID: 564 	|| Coords.: 780,485 	|| Size: 27x16
Claim ID: 565 	|| Coords.: 740,810 	|| Size: 25x22
Claim ID: 566 	|| Coords.: 933,505 	|| Size: 17x27
Claim ID: 567 	|| Coords.: 418,488 	|| Size: 28x15
Claim ID: 568 	|| Coords.: 801,241 	|| Size: 26x23
Claim ID: 569 	|| Coords.: 30,960 	|| Size: 19x12
Claim ID: 570 	|| Coords.: 749,328 	|| Size: 20x17
Claim ID: 571 	|| Coords.: 153,675 	|| Size: 5x6
Claim ID: 572 	|| Coords.: 768,785 	|| Size: 22x15
Claim ID: 573 	|| Coords.: 888,124 	|| Size: 28x20
Claim ID: 574 	|| Coords.: 301,384 	|| Size: 13x24
Claim ID: 575 	|| Coords.: 496,395 	|| Size: 23x20
Claim ID: 576 	|| Coords.: 70,306 	|| Size: 17x22
Claim ID: 577 	|| Coords.: 453,965 	|| Size: 28x11
Claim ID: 578 	|| Coords.: 651,274 	|| Size: 22x14
Claim ID: 579 	|| Coords.: 300,687 	|| Size: 21x27
Claim ID: 580 	|| Coords.: 539,451 	|| Size: 22x13
Claim ID: 581 	|| Coords.: 800,789 	|| Size: 19x16
Claim ID: 582 	|| Coords.: 928,647 	|| Size: 19x13
Claim ID: 583 	|| Coords.: 57,949 	|| Size: 21x17
Claim ID: 584 	|| Coords.: 584,264 	|| Size: 10x25
Claim ID: 585 	|| Coords.: 586,779 	|| Size: 29x20
Claim ID: 586 	|| Coords.: 297,349 	|| Size: 27x14
Claim ID: 587 	|| Coords.: 154,379 	|| Size: 15x15
Claim ID: 588 	|| Coords.: 59,650 	|| Size: 27x28
Claim ID: 589 	|| Coords.: 120,836 	|| Size: 24x16
Claim ID: 590 	|| Coords.: 397,188 	|| Size: 27x21
Claim ID: 591 	|| Coords.: 223,617 	|| Size: 12x10
Claim ID: 592 	|| Coords.: 378,343 	|| Size: 23x23
Claim ID: 593 	|| Coords.: 257,390 	|| Size: 14x21
Claim ID: 594 	|| Coords.: 67,690 	|| Size: 24x24
Claim ID: 595 	|| Coords.: 907,171 	|| Size: 26x28
Claim ID: 596 	|| Coords.: 9,734 	|| Size: 28x27
Claim ID: 597 	|| Coords.: 149,688 	|| Size: 11x25
Claim ID: 598 	|| Coords.: 456,965 	|| Size: 21x22
Claim ID: 599 	|| Coords.: 940,219 	|| Size: 26x27
Claim ID: 600 	|| Coords.: 892,231 	|| Size: 20x13
Claim ID: 601 	|| Coords.: 121,432 	|| Size: 10x17
Claim ID: 602 	|| Coords.: 915,800 	|| Size: 25x10
Claim ID: 603 	|| Coords.: 54,968 	|| Size: 14x18
Claim ID: 604 	|| Coords.: 404,591 	|| Size: 25x18
Claim ID: 605 	|| Coords.: 477,583 	|| Size: 25x12
Claim ID: 606 	|| Coords.: 932,814 	|| Size: 22x28
Claim ID: 607 	|| Coords.: 281,137 	|| Size: 16x15
Claim ID: 608 	|| Coords.: 138,421 	|| Size: 23x28
Claim ID: 609 	|| Coords.: 737,605 	|| Size: 21x21
Claim ID: 610 	|| Coords.: 349,660 	|| Size: 17x25
Claim ID: 611 	|| Coords.: 786,823 	|| Size: 13x24
Claim ID: 612 	|| Coords.: 205,482 	|| Size: 28x18
Claim ID: 613 	|| Coords.: 662,797 	|| Size: 18x19
Claim ID: 614 	|| Coords.: 286,211 	|| Size: 29x25
Claim ID: 615 	|| Coords.: 244,301 	|| Size: 24x21
Claim ID: 616 	|| Coords.: 521,821 	|| Size: 20x12
Claim ID: 617 	|| Coords.: 104,13 	|| Size: 27x28
Claim ID: 618 	|| Coords.: 570,645 	|| Size: 24x29
Claim ID: 619 	|| Coords.: 43,231 	|| Size: 14x22
Claim ID: 620 	|| Coords.: 175,874 	|| Size: 15x20
Claim ID: 621 	|| Coords.: 695,476 	|| Size: 22x22
Claim ID: 622 	|| Coords.: 317,311 	|| Size: 19x15
Claim ID: 623 	|| Coords.: 829,114 	|| Size: 11x12
Claim ID: 624 	|| Coords.: 718,747 	|| Size: 20x28
Claim ID: 625 	|| Coords.: 407,82 	|| Size: 18x23
Claim ID: 626 	|| Coords.: 920,299 	|| Size: 22x21
Claim ID: 627 	|| Coords.: 368,603 	|| Size: 11x12
Claim ID: 628 	|| Coords.: 123,468 	|| Size: 26x26
Claim ID: 629 	|| Coords.: 887,929 	|| Size: 24x24
Claim ID: 630 	|| Coords.: 910,462 	|| Size: 17x10
Claim ID: 631 	|| Coords.: 498,344 	|| Size: 20x18
Claim ID: 632 	|| Coords.: 388,815 	|| Size: 12x28
Claim ID: 633 	|| Coords.: 389,112 	|| Size: 25x21
Claim ID: 634 	|| Coords.: 812,240 	|| Size: 12x29
Claim ID: 635 	|| Coords.: 596,774 	|| Size: 12x21
Claim ID: 636 	|| Coords.: 271,747 	|| Size: 21x17
Claim ID: 637 	|| Coords.: 358,553 	|| Size: 24x10
Claim ID: 638 	|| Coords.: 135,423 	|| Size: 27x23
Claim ID: 639 	|| Coords.: 616,439 	|| Size: 18x29
Claim ID: 640 	|| Coords.: 682,516 	|| Size: 25x26
Claim ID: 641 	|| Coords.: 857,47 	|| Size: 19x21
Claim ID: 642 	|| Coords.: 289,741 	|| Size: 12x27
Claim ID: 643 	|| Coords.: 736,620 	|| Size: 20x16
Claim ID: 644 	|| Coords.: 534,822 	|| Size: 29x29
Claim ID: 645 	|| Coords.: 574,287 	|| Size: 16x14
Claim ID: 646 	|| Coords.: 541,82 	|| Size: 17x16
Claim ID: 647 	|| Coords.: 214,665 	|| Size: 20x14
Claim ID: 648 	|| Coords.: 865,60 	|| Size: 17x24
Claim ID: 649 	|| Coords.: 187,587 	|| Size: 17x16
Claim ID: 650 	|| Coords.: 832,797 	|| Size: 14x23
Claim ID: 651 	|| Coords.: 521,652 	|| Size: 25x15
Claim ID: 652 	|| Coords.: 917,736 	|| Size: 21x15
Claim ID: 653 	|| Coords.: 380,259 	|| Size: 13x12
Claim ID: 654 	|| Coords.: 436,103 	|| Size: 15x27
Claim ID: 655 	|| Coords.: 283,134 	|| Size: 13x13
Claim ID: 656 	|| Coords.: 205,115 	|| Size: 26x28
Claim ID: 657 	|| Coords.: 466,211 	|| Size: 28x13
Claim ID: 658 	|| Coords.: 11,785 	|| Size: 10x14
Claim ID: 659 	|| Coords.: 669,359 	|| Size: 21x25
Claim ID: 660 	|| Coords.: 407,578 	|| Size: 14x29
Claim ID: 661 	|| Coords.: 337,174 	|| Size: 24x14
Claim ID: 662 	|| Coords.: 801,869 	|| Size: 17x11
Claim ID: 663 	|| Coords.: 71,564 	|| Size: 26x26
Claim ID: 664 	|| Coords.: 2,692 	|| Size: 17x21
Claim ID: 665 	|| Coords.: 248,247 	|| Size: 27x29
Claim ID: 666 	|| Coords.: 738,685 	|| Size: 15x20
Claim ID: 667 	|| Coords.: 213,215 	|| Size: 18x25
Claim ID: 668 	|| Coords.: 122,425 	|| Size: 25x13
Claim ID: 669 	|| Coords.: 523,425 	|| Size: 13x25
Claim ID: 670 	|| Coords.: 197,688 	|| Size: 20x13
Claim ID: 671 	|| Coords.: 745,952 	|| Size: 13x25
Claim ID: 672 	|| Coords.: 666,852 	|| Size: 18x18
Claim ID: 673 	|| Coords.: 961,686 	|| Size: 24x24
Claim ID: 674 	|| Coords.: 960,800 	|| Size: 20x27
Claim ID: 675 	|| Coords.: 523,100 	|| Size: 29x22
Claim ID: 676 	|| Coords.: 196,598 	|| Size: 20x15
Claim ID: 677 	|| Coords.: 741,807 	|| Size: 16x23
Claim ID: 678 	|| Coords.: 493,332 	|| Size: 10x12
Claim ID: 679 	|| Coords.: 63,475 	|| Size: 10x16
Claim ID: 680 	|| Coords.: 304,713 	|| Size: 21x24
Claim ID: 681 	|| Coords.: 824,897 	|| Size: 11x21
Claim ID: 682 	|| Coords.: 479,40 	|| Size: 25x24
Claim ID: 683 	|| Coords.: 591,792 	|| Size: 25x23
Claim ID: 684 	|| Coords.: 432,430 	|| Size: 29x16
Claim ID: 685 	|| Coords.: 353,435 	|| Size: 24x10
Claim ID: 686 	|| Coords.: 917,916 	|| Size: 24x17
Claim ID: 687 	|| Coords.: 536,803 	|| Size: 29x21
Claim ID: 688 	|| Coords.: 527,182 	|| Size: 14x15
Claim ID: 689 	|| Coords.: 70,89 	|| Size: 23x13
Claim ID: 690 	|| Coords.: 188,968 	|| Size: 28x23
Claim ID: 691 	|| Coords.: 415,560 	|| Size: 14x15
Claim ID: 692 	|| Coords.: 646,487 	|| Size: 27x10
Claim ID: 693 	|| Coords.: 540,307 	|| Size: 16x24
Claim ID: 694 	|| Coords.: 610,751 	|| Size: 15x25
Claim ID: 695 	|| Coords.: 265,56 	|| Size: 13x10
Claim ID: 696 	|| Coords.: 764,16 	|| Size: 16x20
Claim ID: 697 	|| Coords.: 838,98 	|| Size: 16x17
Claim ID: 698 	|| Coords.: 431,575 	|| Size: 23x20
Claim ID: 699 	|| Coords.: 343,728 	|| Size: 15x14
Claim ID: 700 	|| Coords.: 365,631 	|| Size: 29x11
Claim ID: 701 	|| Coords.: 794,479 	|| Size: 23x11
Claim ID: 702 	|| Coords.: 453,494 	|| Size: 22x28
Claim ID: 703 	|| Coords.: 330,285 	|| Size: 20x24
Claim ID: 704 	|| Coords.: 358,377 	|| Size: 19x29
Claim ID: 705 	|| Coords.: 115,179 	|| Size: 17x13
Claim ID: 706 	|| Coords.: 71,838 	|| Size: 15x14
Claim ID: 707 	|| Coords.: 369,287 	|| Size: 26x19
Claim ID: 708 	|| Coords.: 957,135 	|| Size: 10x15
Claim ID: 709 	|| Coords.: 333,374 	|| Size: 28x27
Claim ID: 710 	|| Coords.: 449,976 	|| Size: 28x20
Claim ID: 711 	|| Coords.: 390,117 	|| Size: 29x29
Claim ID: 712 	|| Coords.: 354,813 	|| Size: 13x22
Claim ID: 713 	|| Coords.: 974,680 	|| Size: 20x12
Claim ID: 714 	|| Coords.: 158,900 	|| Size: 27x16
Claim ID: 715 	|| Coords.: 721,938 	|| Size: 17x18
Claim ID: 716 	|| Coords.: 63,474 	|| Size: 20x23
Claim ID: 717 	|| Coords.: 286,689 	|| Size: 13x28
Claim ID: 718 	|| Coords.: 847,916 	|| Size: 19x11
Claim ID: 719 	|| Coords.: 336,318 	|| Size: 10x25
Claim ID: 720 	|| Coords.: 379,14 	|| Size: 27x28
Claim ID: 721 	|| Coords.: 946,142 	|| Size: 15x27
Claim ID: 722 	|| Coords.: 245,673 	|| Size: 28x19
Claim ID: 723 	|| Coords.: 771,64 	|| Size: 13x24
Claim ID: 724 	|| Coords.: 399,80 	|| Size: 11x10
Claim ID: 725 	|| Coords.: 326,557 	|| Size: 17x14
Claim ID: 726 	|| Coords.: 662,549 	|| Size: 17x17
Claim ID: 727 	|| Coords.: 527,965 	|| Size: 5x17
Claim ID: 728 	|| Coords.: 61,453 	|| Size: 18x18
Claim ID: 729 	|| Coords.: 100,863 	|| Size: 15x20
Claim ID: 730 	|| Coords.: 452,465 	|| Size: 25x28
Claim ID: 731 	|| Coords.: 574,515 	|| Size: 13x16
Claim ID: 732 	|| Coords.: 754,352 	|| Size: 14x21
Claim ID: 733 	|| Coords.: 693,78 	|| Size: 29x10
Claim ID: 734 	|| Coords.: 497,34 	|| Size: 21x16
Claim ID: 735 	|| Coords.: 161,271 	|| Size: 10x11
Claim ID: 736 	|| Coords.: 862,404 	|| Size: 11x26
Claim ID: 737 	|| Coords.: 146,102 	|| Size: 27x25
Claim ID: 738 	|| Coords.: 589,762 	|| Size: 26x17
Claim ID: 739 	|| Coords.: 839,729 	|| Size: 10x21
Claim ID: 740 	|| Coords.: 519,40 	|| Size: 17x12
Claim ID: 741 	|| Coords.: 163,323 	|| Size: 13x18
Claim ID: 742 	|| Coords.: 513,916 	|| Size: 12x13
Claim ID: 743 	|| Coords.: 700,921 	|| Size: 25x23
Claim ID: 744 	|| Coords.: 352,399 	|| Size: 21x16
Claim ID: 745 	|| Coords.: 71,50 	|| Size: 26x18
Claim ID: 746 	|| Coords.: 421,416 	|| Size: 11x13
Claim ID: 747 	|| Coords.: 220,955 	|| Size: 16x15
Claim ID: 748 	|| Coords.: 103,130 	|| Size: 24x28
Claim ID: 749 	|| Coords.: 948,558 	|| Size: 11x12
Claim ID: 750 	|| Coords.: 0,367 	|| Size: 13x12
Claim ID: 751 	|| Coords.: 251,274 	|| Size: 17x11
Claim ID: 752 	|| Coords.: 129,716 	|| Size: 20x25
Claim ID: 753 	|| Coords.: 561,568 	|| Size: 21x11
Claim ID: 754 	|| Coords.: 639,762 	|| Size: 26x24
Claim ID: 755 	|| Coords.: 367,353 	|| Size: 14x15
Claim ID: 756 	|| Coords.: 531,818 	|| Size: 23x19
Claim ID: 757 	|| Coords.: 825,210 	|| Size: 16x23
Claim ID: 758 	|| Coords.: 732,770 	|| Size: 10x18
Claim ID: 759 	|| Coords.: 378,302 	|| Size: 29x27
Claim ID: 760 	|| Coords.: 544,209 	|| Size: 18x15
Claim ID: 761 	|| Coords.: 782,309 	|| Size: 21x10
Claim ID: 762 	|| Coords.: 547,839 	|| Size: 25x23
Claim ID: 763 	|| Coords.: 363,526 	|| Size: 29x22
Claim ID: 764 	|| Coords.: 316,97 	|| Size: 13x23
Claim ID: 765 	|| Coords.: 353,702 	|| Size: 28x24
Claim ID: 766 	|| Coords.: 798,39 	|| Size: 14x10
Claim ID: 767 	|| Coords.: 475,728 	|| Size: 15x23
Claim ID: 768 	|| Coords.: 629,122 	|| Size: 12x23
Claim ID: 769 	|| Coords.: 866,738 	|| Size: 19x18
Claim ID: 770 	|| Coords.: 403,47 	|| Size: 28x26
Claim ID: 771 	|| Coords.: 628,426 	|| Size: 23x27
Claim ID: 772 	|| Coords.: 594,136 	|| Size: 10x16
Claim ID: 773 	|| Coords.: 796,396 	|| Size: 25x17
Claim ID: 774 	|| Coords.: 125,804 	|| Size: 19x21
Claim ID: 775 	|| Coords.: 966,222 	|| Size: 22x13
Claim ID: 776 	|| Coords.: 867,186 	|| Size: 17x12
Claim ID: 777 	|| Coords.: 932,494 	|| Size: 26x19
Claim ID: 778 	|| Coords.: 529,791 	|| Size: 24x27
Claim ID: 779 	|| Coords.: 959,717 	|| Size: 12x14
Claim ID: 780 	|| Coords.: 36,44 	|| Size: 13x27
Claim ID: 781 	|| Coords.: 589,130 	|| Size: 23x19
Claim ID: 782 	|| Coords.: 489,339 	|| Size: 16x13
Claim ID: 783 	|| Coords.: 783,180 	|| Size: 29x13
Claim ID: 784 	|| Coords.: 912,892 	|| Size: 18x16
Claim ID: 785 	|| Coords.: 125,344 	|| Size: 19x18
Claim ID: 786 	|| Coords.: 530,246 	|| Size: 18x21
Claim ID: 787 	|| Coords.: 352,355 	|| Size: 23x11
Claim ID: 788 	|| Coords.: 123,469 	|| Size: 27x18
Claim ID: 789 	|| Coords.: 586,660 	|| Size: 28x10
Claim ID: 790 	|| Coords.: 632,5 	|| Size: 25x19
Claim ID: 791 	|| Coords.: 168,195 	|| Size: 27x29
Claim ID: 792 	|| Coords.: 8,651 	|| Size: 21x19
Claim ID: 793 	|| Coords.: 124,824 	|| Size: 18x22
Claim ID: 794 	|| Coords.: 48,240 	|| Size: 14x17
Claim ID: 795 	|| Coords.: 468,592 	|| Size: 14x23
Claim ID: 796 	|| Coords.: 579,847 	|| Size: 21x16
Claim ID: 797 	|| Coords.: 675,898 	|| Size: 15x22
Claim ID: 798 	|| Coords.: 420,563 	|| Size: 16x12
Claim ID: 799 	|| Coords.: 246,32 	|| Size: 16x17
Claim ID: 800 	|| Coords.: 388,584 	|| Size: 19x21
Claim ID: 801 	|| Coords.: 250,220 	|| Size: 19x25
Claim ID: 802 	|| Coords.: 778,306 	|| Size: 19x10
Claim ID: 803 	|| Coords.: 475,720 	|| Size: 13x10
Claim ID: 804 	|| Coords.: 754,801 	|| Size: 28x12
Claim ID: 805 	|| Coords.: 540,214 	|| Size: 7x4
Claim ID: 806 	|| Coords.: 129,257 	|| Size: 19x20
Claim ID: 807 	|| Coords.: 400,768 	|| Size: 10x17
Claim ID: 808 	|| Coords.: 891,675 	|| Size: 25x26
Claim ID: 809 	|| Coords.: 800,597 	|| Size: 11x11
Claim ID: 810 	|| Coords.: 516,18 	|| Size: 13x16
Claim ID: 811 	|| Coords.: 570,397 	|| Size: 12x23
Claim ID: 812 	|| Coords.: 37,352 	|| Size: 25x13
Claim ID: 813 	|| Coords.: 534,764 	|| Size: 10x15
Claim ID: 814 	|| Coords.: 51,875 	|| Size: 27x27
Claim ID: 815 	|| Coords.: 586,780 	|| Size: 27x10
Claim ID: 816 	|| Coords.: 563,643 	|| Size: 27x29
Claim ID: 817 	|| Coords.: 584,810 	|| Size: 13x15
Claim ID: 818 	|| Coords.: 373,518 	|| Size: 12x10
Claim ID: 819 	|| Coords.: 71,169 	|| Size: 23x17
Claim ID: 820 	|| Coords.: 384,21 	|| Size: 17x16
Claim ID: 821 	|| Coords.: 654,92 	|| Size: 13x20
Claim ID: 822 	|| Coords.: 756,740 	|| Size: 16x16
Claim ID: 823 	|| Coords.: 653,388 	|| Size: 26x20
Claim ID: 824 	|| Coords.: 51,805 	|| Size: 20x15
Claim ID: 825 	|| Coords.: 797,591 	|| Size: 25x12
Claim ID: 826 	|| Coords.: 737,233 	|| Size: 20x11
Claim ID: 827 	|| Coords.: 88,15 	|| Size: 14x19
Claim ID: 828 	|| Coords.: 173,583 	|| Size: 10x21
Claim ID: 829 	|| Coords.: 223,700 	|| Size: 19x16
Claim ID: 830 	|| Coords.: 627,586 	|| Size: 23x29
Claim ID: 831 	|| Coords.: 838,634 	|| Size: 17x13
Claim ID: 832 	|| Coords.: 912,454 	|| Size: 19x27
Claim ID: 833 	|| Coords.: 233,706 	|| Size: 17x22
Claim ID: 834 	|| Coords.: 740,392 	|| Size: 11x23
Claim ID: 835 	|| Coords.: 789,474 	|| Size: 13x24
Claim ID: 836 	|| Coords.: 394,759 	|| Size: 18x11
Claim ID: 837 	|| Coords.: 837,750 	|| Size: 29x14
Claim ID: 838 	|| Coords.: 635,273 	|| Size: 14x8
Claim ID: 839 	|| Coords.: 434,739 	|| Size: 28x18
Claim ID: 840 	|| Coords.: 78,355 	|| Size: 12x24
Claim ID: 841 	|| Coords.: 273,46 	|| Size: 19x21
Claim ID: 842 	|| Coords.: 508,951 	|| Size: 10x15
Claim ID: 843 	|| Coords.: 397,984 	|| Size: 21x12
Claim ID: 844 	|| Coords.: 207,278 	|| Size: 29x13
Claim ID: 845 	|| Coords.: 205,244 	|| Size: 10x23
Claim ID: 846 	|| Coords.: 224,575 	|| Size: 10x27
